gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Denn2b	0.158011402607783	6.33980021389983	2.160406708392	0.141607204762588	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Mobp	-0.365300222327716	3.34970239700445	2.15992538461358	0.141651568662928	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gtpbp1	-0.270383295100784	3.55422301307861	2.15977607430188	0.141665333858076	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Atic	0.316375726366438	3.54351937396254	2.15962194256971	0.141679545126084	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Vwa5a	-0.582359715656148	1.97609512872094	2.15924679373093	0.141714141330486	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Polg	-0.225791647553146	5.37534590860818	2.15918441360711	0.14171989494263	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm44257	-0.282167337454199	3.73932484837964	2.15872931997411	0.141761878314711	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Actrt3	1.0887823124825	-0.654601574823582	2.15821901529281	0.141808971653664	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Ap1b1	-0.168176008325567	6.13767462052753	2.15795387787772	0.141833446735258	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tbce	0.237848475774962	6.27222661918434	2.15772200745309	0.141854854802265	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Trmt13	0.195909350213166	5.33309544681693	2.15753058534774	0.141872531105542	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
2700049A03Rik	0.187816532264403	5.05725229712874	2.15682590712318	0.141937623852977	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
4921534H16Rik	-0.522831222859885	1.74822881225	2.15525697537878	0.142082670315775	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm49711	-0.357675798631153	2.00155919812597	2.15515318429797	0.142092271591962	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Pdgfa	-0.252284387324929	3.78795753580569	2.15506340535267	0.142100577252855	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
4930473H19Rik	0.856316487300914	-0.435952390052749	2.15486017371384	0.142119380705109	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Fgf18	0.406522618880244	1.77755830208078	2.15473348930552	0.142131103249406	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Akr1b10	0.316687482674425	3.88798827265051	2.15260497200239	0.142328224965135	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
