gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Creld1	-0.145414009	5.571613902	0.912895512	0.33934732	0.734491672	pseudobulk	edgeR	LRT
Apc	0.059941399	9.23721163	0.912314784	0.339500984	0.734491672	pseudobulk	edgeR	LRT
Bzw1	-0.137109735	5.583410434	0.912199236	0.339531569	0.734491672	pseudobulk	edgeR	LRT
A230006K03Rik	-0.088079057	8.603305126	0.912094896	0.339559192	0.734491672	pseudobulk	edgeR	LRT
Vmp1	0.071637854	7.301388355	0.904435576	0.341595148	0.73854951	pseudobulk	edgeR	LRT
Zfyve27	0.124057157	5.776732136	0.902549347	0.342099056	0.739292716	pseudobulk	edgeR	LRT
Sacm1l	-0.074850212	7.353845193	0.901197122	0.342460921	0.73972841	pseudobulk	edgeR	LRT
Ctif	0.07625685	7.433989367	0.898120449	0.343286188	0.741089414	pseudobulk	edgeR	LRT
Ubap2l	-0.063856642	7.531299576	0.897628972	0.343418267	0.741089414	pseudobulk	edgeR	LRT
Qk	0.071420243	8.498724961	0.89586515	0.343892841	0.741089414	pseudobulk	edgeR	LRT
Ccdc82	-0.122406815	5.664015647	0.89528545	0.344049009	0.741089414	pseudobulk	edgeR	LRT
Mtmr3	0.077087061	7.463393345	0.895206231	0.344070357	0.741089414	pseudobulk	edgeR	LRT
Tet2	0.073402137	7.576646547	0.894313262	0.344311125	0.741089414	pseudobulk	edgeR	LRT
Nfia	0.11180261	6.477746968	0.893554809	0.344515803	0.741089414	pseudobulk	edgeR	LRT
Tfg	-0.094551394	6.522788967	0.893534314	0.344521336	0.741089414	pseudobulk	edgeR	LRT
2610044O15Rik8	-0.114531856	5.777932055	0.893185326	0.344615572	0.741089414	pseudobulk	edgeR	LRT
Ppp2r2c	0.091092004	6.795403616	0.892885784	0.344696484	0.741089414	pseudobulk	edgeR	LRT
Car11	-0.119598949	6.084184852	0.891887276	0.344966386	0.741324413	pseudobulk	edgeR	LRT
Pgbd5	-0.111190033	6.537605776	0.890368305	0.34537752	0.741344228	pseudobulk	edgeR	LRT
Washc5	-0.118099929	5.674401228	0.889384039	0.345644282	0.741344228	pseudobulk	edgeR	LRT
Snx30	0.098891122	6.172569481	0.888554801	0.345869244	0.741344228	pseudobulk	edgeR	LRT
AI593442	-0.105291278	5.848928026	0.887798519	0.346074586	0.741344228	pseudobulk	edgeR	LRT
Zfp277	-0.096011243	6.145539698	0.887679618	0.346106885	0.741344228	pseudobulk	edgeR	LRT
B230334C09Rik	-0.132290041	5.987322513	0.887221838	0.346231276	0.741344228	pseudobulk	edgeR	LRT
R3hdm4	-0.133915036	5.580368001	0.887026672	0.346284325	0.741344228	pseudobulk	edgeR	LRT
Evi5	-0.075075251	7.482750916	0.887017288	0.346286877	0.741344228	pseudobulk	edgeR	LRT
Cttn	0.110276308	5.82993453	0.886523915	0.346421036	0.741344228	pseudobulk	edgeR	LRT
Bsg	-0.143750203	6.935734791	0.885515853	0.346695369	0.741587499	pseudobulk	edgeR	LRT
Cap2	0.073376933	7.746227392	0.883406397	0.347270389	0.742375132	pseudobulk	edgeR	LRT
Tgs1	-0.096623041	6.316854979	0.882985621	0.347385244	0.742375132	pseudobulk	edgeR	LRT
Hdac4	0.076628143	7.338303991	0.882133764	0.347617924	0.742528615	pseudobulk	edgeR	LRT
Rps8	-0.118783154	6.705022393	0.881200872	0.347872981	0.742660303	pseudobulk	edgeR	LRT
Prr16	-0.134661631	7.413433542	0.880195547	0.348148126	0.742660303	pseudobulk	edgeR	LRT
Vps39	-0.125633599	5.808958146	0.880144011	0.348162239	0.742660303	pseudobulk	edgeR	LRT
Klhl7	-0.076970299	7.343088358	0.878516056	0.348608442	0.743021436	pseudobulk	edgeR	LRT
Phyhipl	0.080081817	7.119365236	0.878351921	0.348653473	0.743021436	pseudobulk	edgeR	LRT
Slc32a1	-0.163304211	6.698412944	0.877451147	0.348900741	0.743048686	pseudobulk	edgeR	LRT
Rpl23	-0.127524782	5.497710101	0.876794269	0.349081209	0.743048686	pseudobulk	edgeR	LRT
Gdpd1	-0.091247421	6.172008772	0.876546996	0.349149177	0.743048686	pseudobulk	edgeR	LRT
Cntn4	-0.093412627	10.42481255	0.873840147	0.349894383	0.744291461	pseudobulk	edgeR	LRT
Slc7a14	0.073768356	7.519833639	0.872775937	0.350187957	0.744391446	pseudobulk	edgeR	LRT
Dapk1	-0.105391985	7.134563977	0.872387807	0.35029511	0.744391446	pseudobulk	edgeR	LRT
Entr1	0.141090639	6.425523262	0.871916899	0.350425176	0.744391446	pseudobulk	edgeR	LRT
Pex1	-0.113331348	5.928850002	0.869445538	0.351108853	0.745500674	pseudobulk	edgeR	LRT
Ercc6	0.097641018	6.479209458	0.868498352	0.351371364	0.745715042	pseudobulk	edgeR	LRT
Chchd10	-0.135007125	6.405467211	0.866252352	0.35199491	0.745789242	pseudobulk	edgeR	LRT
Ntng1	0.222547677	6.476519678	0.866214866	0.35200533	0.745789242	pseudobulk	edgeR	LRT
Atg2b	0.095524214	5.988008084	0.865344636	0.352247343	0.745789242	pseudobulk	edgeR	LRT
Tmem132d	0.076328318	8.919926093	0.864580785	0.352459958	0.745789242	pseudobulk	edgeR	LRT
Mid1	-0.142874556	6.512418585	0.86363044	0.352724729	0.745789242	pseudobulk	edgeR	LRT
