gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type	perturbation	condition
Tcf12	-0.421213276433857	7.87302455738044	5.54848479674063	0.0184966921738072	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ino80d	-0.856662299605785	5.89816104588323	5.53798085438496	0.0186080405400993	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cxxc4	0.686792496827079	6.05687731865192	5.53571788238131	0.0186321199789878	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Efcab6	-0.874058877215667	6.11691736233923	5.52488121161785	0.0187478758705581	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mllt3	-0.361966496467714	8.66752320995198	5.51883956301707	0.018812734282373	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Acsl1	-0.715788034904439	6.31437762751872	5.51450369898303	0.018859423570687	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Rgs17	-0.590772135808519	7.32565291710902	5.50136630911768	0.0190016214117494	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Fam184a	-0.663915040053478	6.45061693309052	5.4940145721056	0.0190816788952632	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Clstn2	0.501831294153746	9.30764069235399	5.46485082233208	0.0194027103413227	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Eefsec	-0.495561729737768	7.0777940431181	5.46095881576405	0.0194459733984345	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ppp2r3a	0.542785916762894	6.83778678323006	5.45479687742953	0.0195146727509789	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ankrd13d	0.624072431248252	6.0935278052194	5.45028317504683	0.019565155112998	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
