gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Tmed10	0.03088967	4.542071079	0.242466427	0.622430379	0.848127022	pseudobulk	edgeR	LRT
Otud4	-0.01923249	6.065040632	0.242319664	0.622535728	0.848169035	pseudobulk	edgeR	LRT
Tmem161b	0.017878955	6.50044191	0.242072889	0.622712958	0.848169035	pseudobulk	edgeR	LRT
Rabggtb	0.029811138	4.522156684	0.241991417	0.622771494	0.848169035	pseudobulk	edgeR	LRT
Cdyl	0.024665836	5.366062769	0.24193576	0.62281149	0.848169035	pseudobulk	edgeR	LRT
Rfx1	0.024565972	5.127155351	0.241774079	0.622927707	0.848169035	pseudobulk	edgeR	LRT
Adipor2	-0.030780164	4.577646172	0.241572351	0.623072779	0.848213455	pseudobulk	edgeR	LRT
Marchf4	-0.022628811	5.489376923	0.241547592	0.62309059	0.848213455	pseudobulk	edgeR	LRT
Miga1	-0.02009786	6.163284095	0.241187324	0.623349879	0.848432021	pseudobulk	edgeR	LRT
Slain2	0.021804076	5.544244423	0.241009831	0.623477711	0.848527054	pseudobulk	edgeR	LRT
Sergef	0.01690389	6.925838608	0.240956622	0.623516044	0.848527054	pseudobulk	edgeR	LRT
Paip2	-0.017137249	6.670985402	0.240612155	0.623764333	0.848711977	pseudobulk	edgeR	LRT
Usp38	0.029830293	4.83753925	0.239108713	0.624850591	0.849668615	pseudobulk	edgeR	LRT
Zfp804a	0.01730699	7.932144025	0.23898593	0.624939491	0.849694764	pseudobulk	edgeR	LRT
Nfib	-0.016508755	7.882379458	0.237255806	0.62619518	0.850765884	pseudobulk	edgeR	LRT
Gtf3c3	0.025164349	5.17542813	0.235878889	0.627198573	0.851674419	pseudobulk	edgeR	LRT
Limch1	0.016649291	6.955793827	0.235646616	0.627368193	0.851809906	pseudobulk	edgeR	LRT
Tra2b	-0.017795842	6.266169378	0.234196468	0.628429519	0.852667221	pseudobulk	edgeR	LRT
Bckdhb	-0.018992642	6.035809272	0.234162127	0.628454701	0.852667221	pseudobulk	edgeR	LRT
Ppat	0.028962224	4.547846549	0.234115344	0.628489011	0.852667221	pseudobulk	edgeR	LRT
Pea15a	-0.021078654	6.015915605	0.233418294	0.629000718	0.853219081	pseudobulk	edgeR	LRT
Ythdc2	-0.01687062	6.504098981	0.233277818	0.629103955	0.853264217	pseudobulk	edgeR	LRT
Tbc1d30	0.016410191	6.593031873	0.232857741	0.629412905	0.853504896	pseudobulk	edgeR	LRT
D430042O09Rik	-0.021384973	5.649961324	0.232561615	0.629630901	0.853642902	pseudobulk	edgeR	LRT
Palmd	-0.022283687	5.48945748	0.230798196	0.630932608	0.854611723	pseudobulk	edgeR	LRT
9930021J03Rik	0.016952206	6.791806404	0.228948794	0.63230438	0.856081729	pseudobulk	edgeR	LRT
