gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Ube2e1	0.018438174	5.092312628	0.109029945	0.741251244	0.918791284	pseudobulk	edgeR	LRT
BC005537	0.018945532	5.252543718	0.109018259	0.741264614	0.918791284	pseudobulk	edgeR	LRT
Gsdme	0.022581665	4.720953442	0.109006235	0.741278372	0.918791284	pseudobulk	edgeR	LRT
Bmpr1a	-0.013214884	6.281192207	0.108029636	0.742398615	0.919543891	pseudobulk	edgeR	LRT
Myo9b	-0.013692214	6.227081511	0.106042389	0.744695607	0.920815495	pseudobulk	edgeR	LRT
Fubp3	0.017233611	5.436156796	0.105249209	0.745619062	0.921351552	pseudobulk	edgeR	LRT
Gm39469	0.01837557	5.40310109	0.104664908	0.746301794	0.92181994	pseudobulk	edgeR	LRT
Hlf	0.017273965	5.806015172	0.104254226	0.74678292	0.921907779	pseudobulk	edgeR	LRT
Psmd12	-0.021623748	4.968757607	0.104103813	0.746959395	0.921907779	pseudobulk	edgeR	LRT
Ncoa6	0.012489503	6.533076757	0.104038183	0.74703644	0.921907779	pseudobulk	edgeR	LRT
Afg3l2	0.016422544	6.089852806	0.103400753	0.747786146	0.922112019	pseudobulk	edgeR	LRT
Uba6	-0.014347352	5.930209477	0.103314528	0.747887754	0.922144051	pseudobulk	edgeR	LRT
Trim33	0.011982253	6.856595411	0.103252287	0.747961129	0.922187892	pseudobulk	edgeR	LRT
Ap5m1	-0.019564262	4.789688565	0.10290155	0.748375059	0.922280236	pseudobulk	edgeR	LRT
Letm2	0.015197307	5.673838152	0.102585089	0.748749208	0.922336511	pseudobulk	edgeR	LRT
Rab3gap1	-0.011406384	7.004380758	0.102573855	0.748762501	0.922336511	pseudobulk	edgeR	LRT
Ldlrad4	0.007979134	8.775075834	0.102043475	0.74939103	0.922471869	pseudobulk	edgeR	LRT
Ttc3	0.008113052	8.872935823	0.101198016	0.750396677	0.922471869	pseudobulk	edgeR	LRT
Capns1	0.02088102	4.572036546	0.101056596	0.750565343	0.922471869	pseudobulk	edgeR	LRT
Mfn1	-0.014222148	6.157073963	0.100985344	0.750650371	0.922471869	pseudobulk	edgeR	LRT
Uckl1	-0.020739423	4.58737446	0.100367599	0.751388946	0.922848316	pseudobulk	edgeR	LRT
Rps6kb1	-0.013047861	6.215752591	0.100046476	0.751773868	0.92303755	pseudobulk	edgeR	LRT
Mgat3	-0.020721656	4.536687145	0.099893543	0.751957424	0.92303755	pseudobulk	edgeR	LRT
Dcun1d3	-0.017114245	5.378875121	0.099884741	0.751967993	0.92303755	pseudobulk	edgeR	LRT
Sar1b	-0.019691638	4.925682013	0.099255296	0.752725145	0.923603976	pseudobulk	edgeR	LRT
Ss18	-0.02085709	4.577936378	0.099084065	0.752931573	0.923603976	pseudobulk	edgeR	LRT
Ddx46	0.014105404	6.170985162	0.098823561	0.753246	0.923845876	pseudobulk	edgeR	LRT
Csnk1g2	0.021209255	4.699471526	0.098366419	0.753798872	0.924070019	pseudobulk	edgeR	LRT
Rab10	-0.01196381	6.593888526	0.09769903	0.754608558	0.924215454	pseudobulk	edgeR	LRT
Srek1	0.010571284	7.229129282	0.097482335	0.754872108	0.924423128	pseudobulk	edgeR	LRT
Clip1	0.010633363	7.068468589	0.09723688	0.755171026	0.92467213	pseudobulk	edgeR	LRT
Ppm1b	-0.012242572	6.599560381	0.097053276	0.755394891	0.924853362	pseudobulk	edgeR	LRT
Ppp2r5b	0.019115581	5.022180373	0.09603592	0.756639567	0.925586906	pseudobulk	edgeR	LRT
Cep57l1	-0.023916292	4.545312032	0.095555291	0.757230103	0.925885737	pseudobulk	edgeR	LRT
Kifap3	0.009073071	7.81261825	0.095127617	0.757756943	0.926047571	pseudobulk	edgeR	LRT
Ap3s2	0.020816718	4.997836748	0.095026665	0.757881492	0.926070451	pseudobulk	edgeR	LRT
Ankrd16	-0.018700262	5.13298144	0.094889043	0.7580514	0.926070451	pseudobulk	edgeR	LRT
Siah1a	0.016532571	5.321841385	0.094663686	0.758329916	0.926171109	pseudobulk	edgeR	LRT
Mtor	0.014331179	5.766818087	0.094163934	0.758948852	0.926416445	pseudobulk	edgeR	LRT
