gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Armcx3	0.014969224	5.267467446	0.023205851	0.878922982	1	pseudobulk	edgeR	LRT
Csnk1d	-0.013615509	5.335399628	0.023186096	0.878974132	1	pseudobulk	edgeR	LRT
Fip1l1	-0.009357294	6.903615481	0.023041229	0.879349907	1	pseudobulk	edgeR	LRT
Fyco1	-0.011946014	5.759913688	0.022940199	0.879612686	1	pseudobulk	edgeR	LRT
Psip1	0.009258816	7.182318922	0.022879839	0.879769966	1	pseudobulk	edgeR	LRT
Zfp318	-0.010376205	6.583455471	0.022765502	0.880068474	1	pseudobulk	edgeR	LRT
Psmd14	0.009011116	7.320540576	0.022691951	0.880260907	1	pseudobulk	edgeR	LRT
Ndufa4	-0.0178566	4.507562871	0.022656425	0.880353967	1	pseudobulk	edgeR	LRT
Stat5b	-0.011574173	5.964605942	0.022646344	0.880380388	1	pseudobulk	edgeR	LRT
Brms1l	0.012437816	5.647012999	0.022454406	0.880884585	1	pseudobulk	edgeR	LRT
Ppp2r2c	-0.009303557	7.021773018	0.022192523	0.881576083	1	pseudobulk	edgeR	LRT
Pkia	-0.008893634	7.772731328	0.022025361	0.882019653	1	pseudobulk	edgeR	LRT
Uvssa	0.015800254	4.673411733	0.021917574	0.882306583	1	pseudobulk	edgeR	LRT
Sec24b	0.008975042	7.295769322	0.021909516	0.882328062	1	pseudobulk	edgeR	LRT
Apbb3	0.014443879	5.035995791	0.021671024	0.882965625	1	pseudobulk	edgeR	LRT
Snap25	0.007549165	9.350543496	0.021599384	0.883157839	1	pseudobulk	edgeR	LRT
Bbs7	-0.012667526	5.441879334	0.021554238	0.883279137	1	pseudobulk	edgeR	LRT
Copg2	-0.009135427	6.832470128	0.021477672	0.88348515	1	pseudobulk	edgeR	LRT
Dnajc13	0.009043765	6.83081493	0.02136932	0.88377733	1	pseudobulk	edgeR	LRT
Timm23	-0.01449282	5.078562679	0.021228747	0.884157525	1	pseudobulk	edgeR	LRT
Prmt3	0.012255535	5.872097694	0.02122856	0.884158031	1	pseudobulk	edgeR	LRT
Tardbp	0.010097493	6.505604602	0.021203115	0.884226988	1	pseudobulk	edgeR	LRT
Oprd1	0.013406085	6.136533195	0.021163955	0.884333196	1	pseudobulk	edgeR	LRT
Acat1	-0.009818757	6.53708962	0.021103808	0.884496517	1	pseudobulk	edgeR	LRT
Trmt6	-0.016661573	4.575166442	0.021097878	0.884512632	1	pseudobulk	edgeR	LRT
Tmem161b	-0.010681911	6.756386109	0.021070557	0.884586909	1	pseudobulk	edgeR	LRT
Slitrk4	-0.016353749	4.837857458	0.021063376	0.88460644	1	pseudobulk	edgeR	LRT
Mb21d2	0.016245945	5.473873875	0.020848433	0.885192619	1	pseudobulk	edgeR	LRT
Eif3j1	0.015348422	5.02399487	0.020842944	0.885207629	1	pseudobulk	edgeR	LRT
Trpc5	0.011417147	6.624880031	0.020767413	0.885414373	1	pseudobulk	edgeR	LRT
Zfp597	0.016124254	4.61110295	0.020684467	0.885641856	1	pseudobulk	edgeR	LRT
Txnrd1	0.01498978	4.730827017	0.020532589	0.886059597	1	pseudobulk	edgeR	LRT
Phb2	-0.015225657	4.671617852	0.02045489	0.886273919	1	pseudobulk	edgeR	LRT
Gigyf2	0.00844185	7.377928588	0.020294563	0.886717473	1	pseudobulk	edgeR	LRT
Atg2a	0.014685608	5.109338539	0.020256239	0.886823762	1	pseudobulk	edgeR	LRT
Uhrf2	0.009568478	6.715572943	0.02022335	0.886915062	1	pseudobulk	edgeR	LRT
Myo1b	-0.011715809	5.815779012	0.020194339	0.886995658	1	pseudobulk	edgeR	LRT
Zfp810	0.013169852	5.238554118	0.019829266	0.888014966	1	pseudobulk	edgeR	LRT
Hadha	0.013887178	5.278468742	0.019827524	0.888019852	1	pseudobulk	edgeR	LRT
Zfand4	-0.015026968	5.140658459	0.0197045	0.888365513	1	pseudobulk	edgeR	LRT
