gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Dip2c	-0.383250197023247	9.2982001205099	11.7559521680424	0.000606489773620146	0.0178835961114084	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm13391	-1.98551709229762	-2.20887872602637	11.7485324938393	0.000608912296192573	0.0179329170580655	pseudobulk	edgeR	LRT	Supp_layer_neurons
Fchsd2	-0.372006716395629	6.07295941788792	11.7349772144651	0.00061336335522941	0.0180417850885069	pseudobulk	edgeR	LRT	Supp_layer_neurons
Efemp1	0.815726384935921	2.76229341069342	11.7254815753994	0.000616500933359933	0.0181117976908715	pseudobulk	edgeR	LRT	Supp_layer_neurons
Lsm11	-0.662472984369476	3.28901440418929	11.7141407371759	0.000620269454457562	0.0182001518207339	pseudobulk	edgeR	LRT	Supp_layer_neurons
Zmiz1	-0.746277660363317	6.36623199717531	11.7101592653954	0.000621597993806432	0.0182167823822145	pseudobulk	edgeR	LRT	Supp_layer_neurons
Piezo2	-1.01122024515411	0.713330374971138	11.7005425552979	0.000624818767538361	0.0182737883816706	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm48284	-1.59236327460349	-1.82318784028147	11.6997901753581	0.000625071460073871	0.0182737883816706	pseudobulk	edgeR	LRT	Supp_layer_neurons
Kremen1	-0.582569845963388	3.48675885824687	11.6931847877767	0.000627294365015313	0.0183163827166986	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sap30	-0.783919549460174	1.22243477757976	11.679002452325	0.000632094143970223	0.0184331426990952	pseudobulk	edgeR	LRT	Supp_layer_neurons
Glis1	-0.603623944187991	4.02732331217347	11.6768238145607	0.000632834747677393	0.0184331426990952	pseudobulk	edgeR	LRT	Supp_layer_neurons
4930567K20Rik	-0.921668546664706	1.28661429586576	11.6712677906455	0.000634727425989607	0.0184522890743128	pseudobulk	edgeR	LRT	Supp_layer_neurons
Myl1	1.00542940047964	-0.668241957749451	11.6685298279856	0.000635662223944333	0.0184522890743128	pseudobulk	edgeR	LRT	Supp_layer_neurons
Usp3	0.476778655178521	5.49680884129877	11.6681064457437	0.000635806899608335	0.0184522890743128	pseudobulk	edgeR	LRT	Supp_layer_neurons
Chd9	-0.377272911211777	8.6172285881312	11.6603885022162	0.000638450065762694	0.0185065392395746	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gins2	-1.07426673850737	0.186523109727774	11.6571887639238	0.000639549132541723	0.0185159539414077	pseudobulk	edgeR	LRT	Supp_layer_neurons
Tuft1	0.927776209507877	1.04385703770857	11.6525409250285	0.000641149006919068	0.0185398275108375	pseudobulk	edgeR	LRT	Supp_layer_neurons
Cotl1	-0.4760608776769	3.13118410611938	11.6376754639866	0.000646293170417523	0.0186526468683938	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rgs20	-0.372292847301319	6.42277858853566	11.636762279812	0.00064661053165085	0.0186526468683938	pseudobulk	edgeR	LRT	Supp_layer_neurons
Myo5c	0.707134597487786	3.56836407569859	11.6263255192572	0.000650248844382558	0.018735001041644	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sema3d	-0.831215498567238	3.28314299538188	11.6224217820895	0.000651615016039515	0.0187517707503838	pseudobulk	edgeR	LRT	Supp_layer_neurons
Tgfbr1	-0.974227241659047	4.68376848746786	11.6085489251737	0.000656493532055773	0.0188694547182473	pseudobulk	edgeR	LRT	Supp_layer_neurons
Nek11	0.479423458188336	3.01148185404374	11.6026543305593	0.000658577571785524	0.018895058881389	pseudobulk	edgeR	LRT	Supp_layer_neurons
Clvs1	-0.391586137365573	7.46043895432531	11.6015617563888	0.000658964585894389	0.018895058881389	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ak5	-0.40251132134697	8.50629254996811	11.5978666832436	0.000660275166074725	0.0189099644568994	pseudobulk	edgeR	LRT	Supp_layer_neurons
Kbtbd12	0.810586622421656	1.78447642125441	11.5789447569908	0.000667027830559198	0.0190805066267855	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rec8	2.898132320913	-1.52763015953597	11.5679694067551	0.000670976522730924	0.0191705287510004	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm13561	0.759302161819046	2.6749807968357	11.5613345066972	0.000673375058176373	0.019216099213878	pseudobulk	edgeR	LRT	Supp_layer_neurons
